headline_id,headline_value,headline_status,fact_check_link
A,Pope Francis Shocks World Endorses Donald Trump for President Releases Statement,Fake,<a href="http://www.snopes.com/pope-francis-donald-trump-endorsement/">Snopes</a>
B,Donald Trump Sent His Own Plane to Transport 200 Stranded Marines,Fake,<a href="http://www.snopes.com/trump-tower-air/">Snopes</a>
C,FBI Agent Suspected in Hillary Email Leaks Found Dead in Apparent Murder - Suicide,Fake,<a href="http://www.snopes.com/fbi-agent-murder-suicide/">Snopes</a>
D,Donald Trump Protester Speaks Out ‘I Was Paid $3500 to Protest Trump’s Rally’,Fake,<a href="http://www.snopes.com/donald-trump-protester-speaks-out/">Snopes</a>
E,FBI Director Comey Just Put a Trump Sign On His Front Lawn,Fake,<a href="http://www.snopes.com/fbi-director-james-comeys-trump-sign/">Snopes</a>
F,Melania Trump’s Girl-on-Girl Photos From Racy Shoot Revealed,Real,<a href="http://www.mirror.co.uk/3am/celebrity-news/donald-trumps-wife-melania-naked-8542914">Mirror</a>
G,Barbara Bush: ‘I don’t know how women can vote for Trump’,Real,<a href="http://www.cbsnews.com/videos/barbara-bush-i-dont-know-how-women-can-vote-for-donald-trump/">CSB News</a>
H,Donald Trump Says He’d ‘Absolutely’ Require Muslims to Register,Real,<a href="https://www.nytimes.com/politics/first-draft/2015/11/20/donald-trump-says-hed-absolutely-require-muslims-to-register/">New York Times</a>
I,Trump: ‘I Will Protect Our LGBTQ Citizens’,Real,<a href="http://www.nbcnews.com/card/trump-i-will-protect-our-lgbtq-citizens-n614621">NBC News</a>
J,I Ran the C.I.A Now I’m Endorsing Hillary Clinton,Real,<a href="https://www.nytimes.com/2016/08/05/opinion/campaign-stops/i-ran-the-cia-now-im-endorsing-hillary-clinton.html">New York Times</a>
K,Donald Trump on Refusing Presidential Salary ‘I’m not taking it’,Real,<a href="http://www.cbsnews.com/news/did-donald-trump-say-hed-refuse-to-take-a-salary-as-president/">CBS News</a>
