Surname	First Names	Age	Boarded	Survivor () or Victim (†)
Allen	Miss Elisabeth Walton	29	Southampton	
Allison	Mr Hudson Joshua Creighton	30	Southampton	†
Allison	Mrs Bessie Waldo	25	Southampton	†
Allison	Miss Helen Loraine	2	Southampton	†
Allison	Master Hudson Trevor	11m	Southampton	
Anderson	Mr Harry	47	Southampton	
Andrews	Miss Kornelia Theodosia	62	Cherbourg	
Andrews	Mr Thomas	39	Belfast	†
Appleton	Mrs Charlotte	53	Southampton	
Artagaveytia	Mr Ramon	71	Cherbourg	†
Astor	Colonel John Jacob	47	Cherbourg	†
Astor	Mrs Madeleine Talmage	18	Cherbourg	
Aubart	"Mme. Léontine Pauline ""Ninette"""	24	Cherbourg	
Barber	Miss Ellen Mary (Maid to Mrs Tyrell William Cavendish)	26	Southampton	
Barkworth	Mr Algernon Henry	47	Southampton	
Bassani	Mrs Albina (Maid to Mrs William Robert Bucknell)	32	Cherbourg	
Baumann	Mr John D.	60	Cherbourg	†
Baxter	Mrs Hélène	50	Cherbourg	
Baxter	Mr Quigg Edmond	24	Cherbourg	†
Beattie	Mr Thomson	36	Southampton	†
Beckwith	Mr Richard Leonard	37	Southampton	
Beckwith	Mrs Sallie	46	Southampton	
Behr	Mr Karl Howell	26	Cherbourg	
Bessette	Miss Nellie Mayo (Maid to Mrs Ella Holmes White)	39	Cherbourg	
Bidois	Miss Rosalie (Maid to Mrs John Jacob Astor)	46	Cherbourg	
Bird	Miss Ellen (Maid to Mr & Mrs Isodor Straus)	31	Southampton	
Birnbaum	Mr Jakob	24	Cherbourg	†
Bishop	Mr Dickinson H.	25	Cherbourg	
Bishop	Mrs Helen	19	Cherbourg	
Björnström-Steffansson	Mr Mauritz Hokan	28	Southampton	
Blackwell	Mr Stephen Weart	45	Southampton	†
Blank	Mr Henry	39	Cherbourg	
Bonnell	Miss Caroline	30	Southampton	
Bonnell	Miss Elizabeth	61	Southampton	
Borebank	Mr John James	42	Southampton	†
Bowen	Miss Grace Scott (Maid to Mr & Mrs Arthur Ryerson)	45	Cherbourg	
Bowerman	Miss Elsie Edith	22	Southampton	
Brady	Mr John Bertram	41	Southampton	†
Brandeis	Mr Emil Franklin	48	Cherbourg	†
Brereton	Mr George Andrew	37	Southampton	
Brewe	Dr Arthur Jackson	45	Cherbourg	†
Brown	Mrs Caroline Lane	59	Southampton	
Brown	Mrs Margaret	44	Cherbourg	
Bucknell	Mrs Emma Eliza	58	Cherbourg	
Burns	Miss Elizabeth Margaret (Nanny to Master Robert Douglas Spedden)	41	Cherbourg	
Butt	Major Archibald Willingham	46	Southampton	†
Cairns	Mr Alexander Milne (Manservant to Mr William Ernest Carter)	28	Southampton	†
Calderhead	Mr Edward Pennington	42	Southampton	
Candee	Mrs Helen Churchill	52	Cherbourg	
Cardeza	Mrs Charlotte Wardle	58	Cherbourg	
Cardeza	Mr Thomas Drake Martinez	36	Cherbourg	
Carlsson	Mr Frans Olof	33	Southampton	†
Carraú-Esteves	Mr José Pedro	17	Southampton	†
Carrau	Mr Francisco Mauro Severiano	27	Southampton	†
Carter	Mr William Ernest	36	Southampton	
Carter	Mrs Lucile	36	Southampton	
Carter	Miss Lucile Polk	13	Southampton	
Carter	Master William Thornton II	11	Southampton	
Case	Mr Howard Brown	49	Southampton	†
Cassebeer	Mrs Eleanor Genevieve	36	Cherbourg	
Cavendish	Mr Tyrell William	36	Southampton	†
Cavendish	Mrs Julia Florence	25	Southampton	
Chaffee	Mr Herbert Fuller	46	Southampton	†
Chaffee	Mrs Carrie Constance	47	Southampton	
Chambers	Mr Norman Campbell	27	Southampton	
Chambers	Mrs Bertha	32	Southampton	
Chaudanson	Miss Victorine (Maid to Mrs Emily Ryerson)	36	Cherbourg	
Cherry	Miss Gladys	30	Southampton	
Chevré	Mr Paul Romaine Marie Léonce	45	Cherbourg	
Chibnall	Mrs Edith Martha Bowerman	48	Southampton	
Chisholm	Mr Roderick Robert Crispin	43	Belfast	†
Clark	Mr Walter Miller	27	Cherbourg	†
Clark	Mrs Virginia Estelle	26	Cherbourg	
Cleaver	Miss Alice Catherine (Nanny to Master Hudson Trevor Allison)	22	Southampton	
Clifford	Mr George Quincy	40	Southampton	†
Colley	Mr Edward Pomeroy	37	Southampton	†
Compton	Mrs Mary Eliza	64	Cherbourg	
Compton	Miss Sara Rebecca	39	Cherbourg	
Compton	Mr Alexander Taylor Jr	37	Cherbourg	†
Cornell	Mrs Malvina Helen	55	Southampton	
Crafton	Mr John Bertram	59	Southampton	†
Crosby	Captain Edward Gifford	70	Southampton	†
Crosby	Mrs Catherine Elizabeth	64	Southampton	
Crosby	Miss Harriette Rebecca	39	Southampton	
Cumings	Mr John Bradley	39	Cherbourg	†
Cumings	Mrs Florence Briggs	35	Cherbourg	
Daly	Mr Peter Dennis	51	Southampton	†
Daniel	Mr Robert Williams	27	Southampton	
Daniels	Miss Sarah Rebecca (Maid to Mr & Mrs Allison)	33	Southampton	
Davidson	Mr Thornton	31	Cherbourg	†
Davidson	Mrs Orian	27	Cherbourg	
Dick	Mr Albert Adrian	31	Southampton	
Dick	Mrs Vera	17	Southampton	
Dodge	Dr Washington	52	Southampton	
Dodge	Mrs Ruth	34	Southampton	
Dodge	Master Washington	4	Southampton	
Douglas	Mr Walter Donald	50	Cherbourg	†
Douglas	Mrs Mahala	48	Cherbourg	
Douglas	Mrs Mary Hélène	27	Cherbourg	
Duff Gordon	Sir Cosmo Edmund	49	Cherbourg	
Duff Gordon	Lucy Christiana, Lady	48	Cherbourg	
Dulles	Mr William Crothers	39	Cherbourg	†
Earnshaw	Mrs Olive	23	Cherbourg	
Endres	Miss Caroline Louise (Nurse to Mrs Madeleine Astor)	39	Cherbourg	
Eustis	Miss Elizabeth Mussey	54	Cherbourg	
Evans	Miss Edith Corse	36	Cherbourg	†
Farthing	Mr John (Manservant to Mr & Mrs Straus)	57	Southampton	†
Flegenheim	Mrs Antoinette	48	Cherbourg	
Fleming	Miss Margaret (Maid to Mr & Mrs Thayer)	42	Cherbourg	
Flynn	Mr John Irwin	36	Southampton	
Foreman	Mr Benjamin Laventall	30	Southampton	†
Fortune	Mr Mark	64	Southampton	†
Fortune	Mrs Mary	60	Southampton	
Fortune	Miss Ethel Flora	28	Southampton	
Fortune	Miss Alice Elizabeth	24	Southampton	
Fortune	Miss Mabel Helen	23	Southampton	
Fortune	Mr Charles Alexander	19	Southampton	†
Francatelli	Miss Laura Mabel (Secretary to Lady Duff-Gordon)	31	Cherbourg	
Franklin	Mr Thomas Parnham	37	Southampton	†
Frauenthal	Mr Isaac Gerald	43	Cherbourg	
Frauenthal	Dr Henry William	49	Southampton	
Frauenthal	Mrs Clara	42	Southampton	
Frölicher	Miss Hedwig Margaritha	22	Cherbourg	
Frölicher-Stehli	Mr Maximilian Josef	60	Cherbourg	
Frölicher-Stehli	Mrs Margaretha Emerentia	48	Cherbourg	
Fry	Mr Richard (Valet to Mr Joseph Bruce Ismay)	39	Southampton	†
Futrelle	Mr Jacques Heath	37	Southampton	†
Futrelle	Mrs Lily May	35	Southampton	
Gee	Mr Arthur H.	47	Southampton	†
Gibson	Mrs Pauline Caroline	44	Cherbourg	
Gibson	Miss Dorothy Winifred	22	Cherbourg	
Gieger	Miss Amalie (Maid to Mrs George Dunton Widener)	35	Southampton	
Giglio	Mr Victor Gaitan Andrea (Valet to Mr Benjamin Guggenheim)	23	Cherbourg	†
Goldenberg	Mr Samuel L.	47	Cherbourg	
Goldenberg	Mrs Nella	40	Cherbourg	
Goldschmidt	Mr George B.	71	Cherbourg	†
Gracie	Colonel Archibald	53	Southampton	
Graham	Mr George Edward	38	Southampton	†
Graham	Mrs Edith	59	Southampton	
Graham	Miss Margaret Edith	19	Southampton	
Greenfield	Mrs Blanche	45	Cherbourg	
Greenfield	Mr William Bertram	23	Cherbourg	
Guggenheim	Mr Benjamin	46	Cherbourg	†
Harder	Mr George Achilles	25	Cherbourg	
Harder	Mrs Dorothy	21	Cherbourg	
Harper	Mr Henry Sleeper	48	Cherbourg	
Harper	Mrs Myra Raymond	49	Cherbourg	
